state_data,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,pAVG,pSTD
lie,0,185,268,0,790,787,432,0,0,0,0,0,205.2,306.2
lie,383,49,309,7,788,761,279,6,9,10,7,7,217.9,294.3
lie,500,241,385,18,769,743,239,18,18,18,18,18,248.8,288.6
lie,363,19,258,19,795,769,314,19,18,19,19,19,219.3,293.3
lie,382,247,446,0,770,759,286,0,0,0,0,0,240.8,295.5
lie,456,382,594,7,752,752,283,9,10,10,7,7,272.4,305.7
lie,323,276,465,18,771,775,330,18,18,18,18,18,254.0,290.5
lie,19,428,590,19,736,764,320,19,18,19,18,19,247.4,305.5
lie,490,295,463,0,755,742,169,0,0,0,0,0,242.8,298.9
lie,9,55,408,7,783,815,337,8,10,10,11,8,205.1,309.9
lie,17,87,624,18,633,787,400,18,18,18,18,18,221.3,300.2
lie,289,397,504,19,641,745,319,19,19,19,19,19,250.8,271.4
lie,503,256,0,0,202,753,527,0,0,0,0,0,186.8,267.2
lie,469,10,11,7,186,755,702,7,9,10,11,7,182.0,289.3
lie,17,17,18,18,18,725,811,333,18,18,18,17,169.0,294.5
lie,19,19,19,19,19,732,805,712,19,19,18,19,201.6,331.2
lie,0,0,0,0,0,629,800,845,0,0,0,0,189.5,346.2
lie,6,10,10,7,7,565,793,877,8,10,10,7,192.5,340.2
lie,18,18,18,17,18,338,824,891,18,18,18,17,184.4,327.8
lie,18,19,19,20,19,19,780,918,19,19,19,20,157.4,324.4
lie,0,0,0,0,0,299,805,902,0,0,0,0,167.2,332.4
lie,7,10,10,7,8,568,803,884,7,10,10,7,194.3,343.3
lie,18,18,18,18,18,688,822,878,18,18,17,18,212.4,354.4
lie,18,19,19,19,19,733,802,870,20,19,19,19,214.7,355.2
lie,0,0,0,0,0,701,797,872,0,0,0,0,197.5,359.2
lie,7,10,10,8,7,645,814,889,7,10,10,7,202.0,354.2
lie,18,18,18,18,18,558,813,902,18,18,18,18,202.9,343.1
lie,19,19,19,18,19,566,818,901,20,19,19,20,204.8,344.0
lie,0,0,0,0,0,658,820,888,0,0,0,0,197.2,360.2
lie,7,7,10,10,8,707,826,879,8,7,10,10,207.4,361.7
lie,18,18,18,18,17,714,822,877,18,18,18,17,214.4,357.5
lie,19,19,19,19,19,701,820,887,18,20,19,19,214.9,356.7
lie,0,0,0,0,0,628,814,896,0,0,0,0,194.8,357.3
lie,7,9,10,11,7,606,816,898,7,9,9,10,199.9,351.7
lie,17,18,18,18,18,638,822,895,18,18,18,18,209.7,351.5
lie,19,19,19,20,19,709,840,907,19,19,19,19,219.0,364.2
lie,0,0,0,0,0,770,883,892,0,0,0,0,212.1,384.8
lie,7,9,10,11,7,740,898,924,7,9,9,11,220.2,384.6
lie,18,18,18,18,18,673,881,928,18,18,18,17,220.3,370.6
